Carimbo de data/hora,Qual é o seu grau de escolaridade?,Em que ano você finalizou o ensino médio?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Você tem/teve contato com alguma linguagem de programação?,Quais linguagens de programação você já usou?,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Qual a importância que você atribui à Estatística? ,Qual a sua principal expectativa após a conclusão da graduação?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?,"Em média, quanto tempo você demora para chegar a Universidade?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
09/08/2023 11:16:09,Ensino médio,1985,"Parte em escola pública, parte em particular",Supletivo,Não,Nunca usei,Não,Nunca usei,5,Seguir os estudos,Masculino,187,94,01/09/1962,Cuidador de idosa,Com os pais,3,Curitiba,Transporte público,40,Não possuo,Não toco nenhum instrumento,Nenhuma,Sim,6,"Corrida, Musculação, Alongamento","A da esquerda se chama Kiki, a da direita se chama Bouba.",24
09/08/2023 11:05:14,Ensino médio,2018,Totalmente em escola particular,Ensino médio tradicional,Sim,Python,Sim,Excel ou similares,8,Conseguir um emprego,Masculino,184,85,30/01/2001,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Curitiba,Transporte público,90,"Cachorro, Gato",Não toco nenhum instrumento,"Twitter, Instagram, Outras",Sim,4,"Musculação, Futebol","A da esquerda se chama Kiki, a da direita se chama Bouba.",18
09/08/2023 10:57:21,Ensino médio,2022,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,9,Conseguir um emprego,Masculino,179,63,26/02/2005,Não trabalho,Com os pais,2,Curitiba,Carro/moto próprio,40,Não possuo,Não toco nenhum instrumento,"Twitter, Instagram",Sim,3,Futebol,"A da esquerda se chama Kiki, a da direita se chama Bouba.",39
09/08/2023 10:27:47,Mestrado,1974,Totalmente em escola pública,Ensino médio tradicional,Sim,"R, Statgraphics",Sim,"R, SAS, Minitab, Statistica, SPSS, Excel ou similares, Matlab, Statgraphics, Maple",10,Aumento salarial e oportunidades mais promissoras,Masculino,175,90,07/03/1957,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,4,Curitiba,Carro/moto próprio,30,Não possuo,Violão,"Facebook, Twitter, Google+, Instagram, Linkedin",Sim,2,"Caminhada, Futebol","A da esquerda se chama Bouba, a da direita se chama Kiki.",40
09/08/2023 10:12:48,Ensino superior,2022,"Parte em escola pública, parte em particular",Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego,Masculino,180,58,08/10/2004,Não trabalho,Sozinho,1,Outro Estado,Transporte público,30,Não possuo,Não toco nenhum instrumento,Instagram,Sim,3,"Caminhada, Musculação, Futebol","A da esquerda se chama Kiki, a da direita se chama Bouba.",33
09/08/2023 09:19:20,Ensino médio,2022,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Não,Nunca usei,Não,Nunca usei,8,Conseguir um emprego,Masculino,184,74,22/05/2004,Não trabalho,Sozinho,2,Outro Estado,Táxi/Aplicativo,15,Não possuo,Não toco nenhum instrumento,"Facebook, Google+, Instagram, Outras",Não,3,Futebol,"A da esquerda se chama Kiki, a da direita se chama Bouba.",24
09/08/2023 09:19:17,Ensino médio,2021,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Masculino,187,73,22/01/2004,Não trabalho,Sozinho,3,Interior do Paraná,Carro/moto próprio,20,Cachorro,Não toco nenhum instrumento,"Twitter, Instagram",Sim,2,"Caminhada, Futebol, Basquete","A da esquerda se chama Kiki, a da direita se chama Bouba.",24
09/08/2023 09:19:04,Ensino médio,2022,"Parte em escola pública, parte em particular",Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Masculino,183,63,25/10/2004,Não trabalho,Com os pais,2,Curitiba,Carona com amigos,20,Cachorro,Violão,"Twitter, Instagram",Sim,3,Vôlei,"A da esquerda se chama Kiki, a da direita se chama Bouba.",24
09/08/2023 01:02:39,Ensino médio,2019,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,180,63,14/01/2002,Estágio,Com outros familiares,1,Interior do Paraná,Carro/moto próprio,30,Não possuo,Não toco nenhum instrumento,Instagram,Sim,2,"Caminhada, Musculação, Vôlei","A da esquerda se chama Bouba, a da direita se chama Kiki.",33
08/08/2023 21:36:37,Ensino médio,2018,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,"Python, SQL, JavaScript",Sim,Matlab,9,Aumento salarial e oportunidades mais promissoras,Masculino,175,57,31/01/2001,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Interior do Paraná,Transporte público,90,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Sim,3,"Caminhada, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",34
08/08/2023 21:12:45,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,9,Aumento salarial e oportunidades mais promissoras,Feminino,160,68,17/06/2005,Não trabalho,Com os pais,2,Curitiba,Transporte público,20,Não possuo,Não toco nenhum instrumento,"Facebook, Google+, Instagram, Linkedin",Sim,2,"Caminhada, Ciclismo, Vôlei","A da esquerda se chama Kiki, a da direita se chama Bouba.",27
08/08/2023 21:07:44,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,5,Aumento salarial e oportunidades mais promissoras,Feminino,167,53,26/11/2004,Estágio,Com os pais,2,Região metropolitana,Transporte público,90,Cachorro,Não toco nenhum instrumento,"Twitter, Instagram, Linkedin, Outras",Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
08/08/2023 20:56:25,Ensino superior,2022,"Parte em escola pública, parte em particular",Ensino médio tradicional,Sim,JavaScript,Sim,Excel ou similares,10,Aumento salarial e oportunidades mais promissoras,Masculino,172,60,29/03/2004,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Curitiba,Transporte público,60,Não possuo,Violão,"Instagram, Linkedin",Sim,3,"Corrida, Musculação, Basquete","A da esquerda se chama Bouba, a da direita se chama Kiki.",34
08/08/2023 20:51:35,Ensino médio,2021,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,10,Seguir os estudos,Masculino,185,66,06/07/2004,Não trabalho,Com outros familiares,1,Interior do Paraná,Carona com amigos,15,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Outras",Sim,3,"Futebol, ","A da esquerda se chama Kiki, a da direita se chama Bouba.",36
08/08/2023 20:51:31,Ensino médio,2021,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,10,Seguir os estudos,Masculino,185,66,06/07/2004,Não trabalho,Com outros familiares,1,Interior do Paraná,Carona com amigos,15,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Outras",Sim,3,"Futebol, ","A da esquerda se chama Kiki, a da direita se chama Bouba.",36
08/08/2023 20:51:26,Ensino médio,2016,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Masculino,176,86,09/08/1999,Não trabalho,Sozinho,0,Região metropolitana,Transporte público,2,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
08/08/2023 20:48:43,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,6,Conseguir um emprego,Masculino,183,70,01/03/2005,Trabalho ocasional,Com os pais,2,Região metropolitana,Carro/moto próprio,60,Não possuo,Outro,Instagram,Não,0,Nenhuma,"A da esquerda se chama Bouba, a da direita se chama Kiki.",25
08/08/2023 20:46:46,Ensino superior,2013,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Masculino,181,80,12/09/1995,Não trabalho,Com os pais,1,Curitiba,Carro/moto próprio,35,Não possuo,Não toco nenhum instrumento,"Instagram, Linkedin",Sim,5,"Ciclismo, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",36
08/08/2023 20:36:32,Ensino médio,2008,Totalmente em escola pública,Ensino médio tradicional,Sim,"C, C++, Python",Sim,"Excel ou similares, scilab",10,Conseguir um emprego,Masculino,173,68,30/10/1991,"Bolsa (IC, PET, Monitoria ou outra modalidade da UFPR)",Com os pais,1,Interior do Paraná,Transporte público,30,Não possuo,"Violão, Guitarra, Contrabaixo","Facebook, Instagram, Linkedin, Outras",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",20
08/08/2023 20:24:06,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,9,Conseguir um emprego,Masculino,183,79,15/07/2005,Não trabalho,Com outros familiares,1,Interior do Paraná,Transporte público,40,"Cachorro, Pássaro",Outro,"Facebook, Instagram",Sim,6,"Caminhada, Musculação, Futebol","A da esquerda se chama Bouba, a da direita se chama Kiki.",32
08/08/2023 20:02:00,Ensino médio,2021,"Parte em escola pública, parte em particular",Ensino médio tradicional,Sim,Nunca usei,Sim,Excel ou similares,8,Aumento salarial e oportunidades mais promissoras,Masculino,177,62,01/07/2003,Estágio,Com os pais,2,Outro Estado,Transporte público,30,"Cachorro, Gato",Teclado,"Twitter, Instagram",Sim,2,"Caminhada, Corrida, Musculação","A da esquerda se chama Bouba, a da direita se chama Kiki.",35
08/08/2023 19:59:43,Ensino superior,2017,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,Python,Sim,Excel ou similares,9,Aumento salarial e oportunidades mais promissoras,Masculino,179,83,01/04/1998,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Curitiba,Transporte público,30,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
08/08/2023 19:30:46,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,7,Seguir os estudos,Masculino,183,74,10/10/2005,Não trabalho,Com os pais,1,Região metropolitana,Carona com amigos,60,Cachorro,Bateria,Instagram,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
08/08/2023 19:18:46,Ensino superior,2010,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Feminino,158,60,01/10/1992,Trabalho com carteira assinada/Vínculo Formal,Com os pais,4,Curitiba,Carro/moto próprio,60,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",Sim,5,Musculação,"A da esquerda se chama Bouba, a da direita se chama Kiki.",33
08/08/2023 19:13:54,Ensino médio,2018,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,180,90,23/10/1998,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Interior do Paraná,Carro/moto próprio,20,Cachorro,Não toco nenhum instrumento,"Google+, Instagram, Linkedin",Sim,7,"Corrida, Musculação, Vôlei, handebol","A da esquerda se chama Bouba, a da direita se chama Kiki.",32
08/08/2023 19:01:48,Ensino médio,2021,"Parte em escola pública, parte em particular",Ensino médio tradicional,Sim,"Python, JavaScript, Lua",Sim,Excel ou similares,9,Conseguir um emprego,Masculino,181,80,29/09/2004,Não trabalho,Sozinho,1,Interior do Paraná,Transporte público,35,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin, Outras",Sim,7,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
07/08/2023 16:05:06,Ensino médio,2021,"Parte em escola pública, parte em particular",Ensino médio tradicional,Sim,Python,Sim,Excel ou similares,6,Aumento salarial e oportunidades mais promissoras,Masculino,176,64,26/12/2003,Trabalho por contrato,Com os pais,1,Interior do Paraná,Transporte público,40,Cachorro,Não toco nenhum instrumento,"Google+, Instagram, Linkedin",Sim,5,"Caminhada, Corrida, Musculação, Futebol","A da esquerda se chama Kiki, a da direita se chama Bouba.",32
07/08/2023 16:02:53,Ensino médio,2012,Totalmente em escola pública,Ensino médio tradicional,Sim,"C, Python, SQL",Sim,Excel ou similares,7,Aumento salarial e oportunidades mais promissoras,Masculino,183,83,15/10/1992,Trabalho com carteira assinada/Vínculo Formal,Com os pais,4,Curitiba,Carro/moto próprio,30,Cachorro,Contrabaixo,Instagram,Sim,7,"Ciclismo, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
07/08/2023 14:51:07,Ensino médio,2021,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,9,Conseguir um emprego,Feminino,163,53,08/03/2004,Não trabalho,Sozinho,1,Outro Estado,Táxi/Aplicativo,20,Não possuo,Não toco nenhum instrumento,"Twitter, Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Bouba, a da direita se chama Kiki.",32
07/08/2023 14:42:54,Ensino superior,2022,Totalmente em escola particular,Ensino médio tradicional,Sim,"C, C++, C#, Python, JavaScript",Sim,Excel ou similares,10,Aumento salarial e oportunidades mais promissoras,Masculino,171,68,04/08/2005,Trabalho ocasional,Com os pais,0,Região metropolitana,Transporte público,90,Cachorro,Não toco nenhum instrumento,"Google+, Instagram",Sim,3,"Musculação, Futebol, Vôlei","A da esquerda se chama Kiki, a da direita se chama Bouba.",33
07/08/2023 14:42:46,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Sim,"Python, Pascal",Não,Nunca usei,9,Conseguir um emprego,Feminino,160,68,20/09/2004,Não trabalho,Com os pais,0,Outro Estado,Carro/moto próprio,60,Não possuo,Não toco nenhum instrumento,"Twitter, Instagram, Outras",Sim,5,"Caminhada, Pilates","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
07/08/2023 11:02:31,Ensino médio,2022,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Masculino,176,83,04/10/2004,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Outro Estado,Transporte público,30,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,1,Ciclismo,"A da esquerda se chama Bouba, a da direita se chama Kiki.",33
07/08/2023 09:34:24,Ensino médio,2020,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,Python,Sim,Excel ou similares,9,Aumento salarial e oportunidades mais promissoras,Feminino,155,60,26/11/2001,Estágio,Sozinho,3,Região metropolitana,Transporte público,90,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
07/08/2023 09:26:07,Ensino superior,2023,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Masculino,170,71,07/06/2005,Estágio,Com os pais,0,Região metropolitana,Transporte público,25,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
07/08/2023 00:09:48,Ensino médio,2020,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,175,61,07/04/2003,Não trabalho,Com os pais,6,Curitiba,Transporte público,35,"Cachorro, Pássaro",Flauta,"Facebook, Twitter, Instagram, Linkedin, Outras",Sim,2,"Caminhada, Corrida","A da esquerda se chama Kiki, a da direita se chama Bouba.",22
06/08/2023 23:48:03,Ensino superior,2021,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,7,Aumento salarial e oportunidades mais promissoras,Masculino,174,60,18/12/2003,Estágio,Com os pais,2,Curitiba,Carro/moto próprio,30,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",Sim,1,"Pilates, Futebol","A da esquerda se chama Bouba, a da direita se chama Kiki.",32
06/08/2023 18:30:37,Ensino médio,2021,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,7,Conseguir um emprego,Masculino,188,79,21/04/2003,Não trabalho,Com os pais,0,Curitiba,Transporte público,30,Não possuo,Violão,Nenhuma,Sim,5,"Caminhada, Corrida, Futebol, Basquete","A da esquerda se chama Bouba, a da direita se chama Kiki.",24
06/08/2023 17:18:14,Ensino superior,2002,Totalmente em escola particular,Ensino médio tradicional,Sim,Python,Sim,SPSS,10,Aumento salarial e oportunidades mais promissoras,Feminino,153,64,05/06/1985,Trabalho por contrato,Com os pais,2,Região metropolitana,Carro/moto próprio,20,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",Sim,6,"Corrida, Ciclismo, Pilates, Jiu Jitsu e Muay Thai","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
06/08/2023 14:30:35,Ensino médio,2019,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,170,66,31/08/2001,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Outro Estado,Transporte público,60,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin, Outras",Sim,3,Aeróbico ,"A da esquerda se chama Bouba, a da direita se chama Kiki.",32
